Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Thibaut Courtois,GK,29,36,0,0,936,1137,3,1,0,0,1033,1194,6,0,0
Éder Militão,DF,23,34,1,2,1801,2037,36,30,12,8,303,1211,1043,136,39
Karim Benzema,FW,33,31,27,12,1043,1245,128,5,3,3,15,59,510,942,224
Casemiro,MF,29,31,1,3,1695,1989,65,45,30,4,156,707,1300,366,29
Vinicius Júnior,FW,21,30,17,10,1075,1289,188,23,19,4,7,149,434,1172,228
David Alaba,DF,29,30,2,3,1788,1968,45,15,6,2,200,910,1001,285,41
Toni Kroos,MF,31,25,1,3,2068,2259,88,13,17,4,49,474,1370,559,23
Luka Modrić,MF,35,25,2,8,1500,1706,84,8,7,3,18,336,922,631,50
Lucas Vázquez,DF,30,20,3,0,1327,1537,57,24,9,10,68,492,731,541,55
Ferland Mendy,DF,26,20,2,1,1226,1351,60,11,10,3,56,393,635,512,38
Federico Valverde,MF,23,19,0,1,1039,1183,71,11,16,9,33,217,713,472,38
Marco Asensio,"FW,MF",25,19,10,0,731,894,70,6,4,2,11,91,413,572,79
Nacho,DF,31,17,3,0,962,1047,20,9,9,0,146,551,540,111,13
Dani Carvajal,DF,29,17,1,3,1020,1193,38,21,15,7,73,399,527,451,37
Rodrygo,FW,20,17,4,4,555,682,69,7,4,7,3,88,314,507,107
Eduardo Camavinga,MF,18,13,2,1,760,847,34,22,20,10,34,232,569,223,22
Eden Hazard,"FW,MF",30,7,0,1,359,407,53,3,2,1,1,42,149,290,64
Marcelo,DF,33,5,0,2,385,466,15,2,3,3,17,96,200,218,14
Jesús Vallejo,DF,24,4,0,0,188,219,1,7,0,0,61,173,83,14,2
Gareth Bale,FW,32,4,1,0,45,65,2,1,0,1,0,12,32,58,15
Mariano,FW,27,3,1,1,42,61,8,2,0,0,3,10,40,48,19
Isco,"MF,FW",29,3,1,0,238,271,22,4,4,1,2,37,163,122,20
Miguel Gutiérrez,DF,20,3,0,1,165,182,5,5,0,2,9,70,85,52,3
Dani Ceballos,MF,24,2,0,0,240,262,12,4,3,0,7,69,172,76,9
Andriy Lunin,GK,22,2,0,0,70,80,0,0,0,0,84,88,0,0,0
Luka Jović,FW,23,1,1,3,52,67,13,0,1,0,4,15,53,53,25
Antonio Blanco,MF,21,0,0,0,18,20,1,1,1,0,1,13,12,2,0
Peter Federico,"MF,DF",19,0,0,0,14,18,5,0,0,0,1,5,8,12,2
Mario Gila,DF,20,0,0,0,19,22,0,1,0,0,4,18,6,0,0
Sergio Santos,DF,20,0,0,0,8,8,2,0,0,0,0,3,4,1,0
Juanmi Latasa,FW,20,0,0,0,4,5,0,0,0,0,0,0,3,4,2
Toni Fuidias,GK,20,0,,,21373,24517,1195,281,195,84,2399,8154,12038,8430,1198
Luis López,GK,20,0,,,13258,16452,749,347,159,95,2591,6738,8722,5040,681
