ID,LABEL
0,Marc-André ter Stegen
1,Robert Lewandowski
2,Gavi
3,Alejandro Balde
4,Frenkie de Jong
5,Jules Koundé
6,Sergio Busquets
7,Raphinha
8,Pedri
9,Andreas Christensen
10,Ronald Araújo
11,Ousmane Dembélé
12,Eric García
13,Sergi Roberto
14,Jordi Alba
15,Ferrán Torres
16,Ansu Fati
17,Marcos Alonso
18,Franck Kessié
19,Gerard Piqué
20,Memphis
21,Pablo Torre
22,Héctor Bellerín
23,Iñaki Peña
24,Ángel Alarcón
25,Pierre-Emerick Aubameyang
26,Lamine Yamal
27,Aleix Garrido
28,Chadi Riad
29,Arnau Tenas
30,Ander Astralaga
