Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Marc-André ter Stegen,GK,30,38,0,0,1193,1412,12,0,0,0,1076,1436,22,0,0
Robert Lewandowski,FW,33,33,23,7,602,793,91,2,5,10,17,41,432,695,210
Gavi,"MF,FW",17,30,2,4,1026,1206,72,7,30,10,27,148,797,579,71
Alejandro Balde,DF,18,30,1,6,1482,1670,65,22,16,4,40,419,874,672,78
Frenkie de Jong,MF,25,29,2,4,2089,2320,110,16,21,9,45,391,1553,607,47
Jules Koundé,DF,23,28,1,3,1775,2024,41,18,13,6,117,675,1215,362,45
Sergio Busquets,MF,34,28,0,4,1722,1949,74,24,26,8,62,386,1427,373,14
Raphinha,FW,25,25,7,7,915,1266,117,10,7,12,17,84,548,980,131
Pedri,MF,19,22,6,1,1251,1449,87,15,17,7,13,161,954,557,59
Andreas Christensen,DF,26,22,1,1,1416,1507,15,9,11,0,127,645,962,50,13
Ronald Araújo,DF,23,21,0,2,1139,1287,18,12,13,1,109,487,882,77,29
Ousmane Dembélé,FW,25,16,5,7,642,854,86,4,8,7,2,30,311,719,103
Eric García,"DF,MF",21,15,1,0,1142,1257,10,16,5,3,97,539,781,84,5
Sergi Roberto,"DF,MF",30,15,4,1,850,936,29,12,6,4,30,179,565,312,31
Jordi Alba,DF,33,14,2,3,1217,1460,59,13,11,1,34,300,764,506,39
Ferrán Torres,"FW,MF",22,14,4,2,437,576,50,4,5,4,10,67,256,441,87
Ansu Fati,FW,19,12,7,3,509,609,51,8,4,4,10,64,278,470,128
Marcos Alonso,DF,31,11,1,0,896,1005,14,10,5,0,98,402,624,94,11
Franck Kessié,MF,25,7,1,1,391,457,21,6,6,3,25,110,336,133,25
Gerard Piqué,DF,35,4,0,0,353,385,5,1,4,0,38,126,290,9,5
Memphis,FW,28,2,1,0,53,66,8,1,0,0,0,5,25,55,13
Pablo Torre,"FW,MF",19,1,0,0,77,98,8,0,1,1,3,12,49,55,1
Héctor Bellerín,DF,27,1,0,0,77,96,5,0,2,0,1,17,50,41,5
Iñaki Peña,GK,23,0,0,0,25,27,0,0,0,0,21,27,0,0,0
Ángel Alarcón,"FW,MF",18,0,0,0,5,8,1,0,0,0,1,2,2,8,1
Pierre-Emerick Aubameyang,FW,33,0,0,0,3,3,1,0,0,0,0,1,2,1,1
Lamine Yamal,FW,15,0,0,0,8,9,0,0,0,0,0,0,1,11,1
Aleix Garrido,FW,18,0,0,0,2,3,0,1,0,1,0,4,0,3,1
Chadi Riad,MF,19,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Arnau Tenas,GK,21,0,0,0,21298,24733,1050,211,216,95,2020,6759,14000,7894,1154
Ander Astralaga,GK,18,0,,,10316,13758,560,332,250,65,2714,6971,7319,3601,547
