Jogador,Posicao,Idade,Jogos,Gols,Assistencias,Passes Concluidos,Passes Tentados,Passes Perigosos,BotesDef,BotesCentro,BotesAta,PosseGrandeAreaDef,PosseDefesa,PosseCentro,PosseAtaque,PosseGrandeAreaAta
Federico Valverde,MF,25,33,2,7,1901,2117,119,22,13,12,77,384,1382,708,69
Antonio Rüdiger,DF,30,30,1,0,1630,1815,21,18,4,4,275,1000,964,65,25
Rodrygo,FW,22,28,10,5,883,1007,111,2,9,5,3,50,414,905,206
Jude Bellingham,MF,20,27,19,6,1363,1543,99,14,18,10,21,202,978,746,135
Dani Carvajal,DF,31,25,4,3,1265,1475,44,28,15,4,101,465,726,527,59
Toni Kroos,MF,33,24,1,8,2291,2505,100,19,25,9,58,546,1641,492,13
Aurélien Tchouaméni,"MF,DF",23,22,3,1,1377,1520,35,19,17,2,132,539,985,211,20
Vinicius Júnior,FW,23,22,15,5,499,690,79,5,5,8,2,51,290,733,193
Andriy Lunin,GK,24,21,0,0,580,666,2,0,0,0,613,710,3,0,0
Eduardo Camavinga,"MF,DF",20,21,0,2,1205,1328,58,39,29,8,55,399,885,344,20
Ferland Mendy,DF,28,21,0,0,1201,1275,31,12,2,1,44,387,687,345,17
Nacho,DF,33,18,0,1,1183,1281,13,9,7,2,202,724,632,67,18
Luka Modrić,MF,37,18,2,6,1452,1669,105,10,6,6,22,256,977,593,49
Brahim Díaz,"FW,MF",23,18,8,6,624,740,75,4,16,9,8,51,400,540,93
Joselu,FW,33,15,10,2,260,360,31,1,4,1,13,43,236,238,99
Fran Garcia,DF,23,15,1,5,841,997,34,11,12,2,39,309,464,385,23
Lucas Vázquez,DF,32,14,3,6,930,1085,60,22,14,1,52,327,498,466,68
David Alaba,DF,31,14,0,1,810,904,18,7,5,1,127,474,457,80,11
Kepa Arrizabalaga,GK,28,13,0,0,386,456,0,0,0,0,412,471,3,0,0
Éder Militão,DF,25,6,0,0,297,329,2,4,3,0,61,204,155,20,3
Dani Ceballos,"MF,FW",26,5,0,2,486,542,25,4,5,1,9,99,315,201,15
Arda Güler,"FW,MF",18,4,6,0,183,218,18,1,3,2,7,39,114,125,19
Thibaut Courtois,GK,31,4,0,0,113,123,1,1,0,0,119,135,0,0,0
Nicolás Paz,"MF,FW",18,0,0,0,18,24,1,0,0,0,0,2,17,13,0
Gonzalo García,"FW,MF",19,0,0,0,4,7,0,0,0,0,0,2,4,5,1
Mario Martín,MF,19,0,0,0,12,15,0,0,2,3,2,9,13,4,0
Álvaro Rodríguez,FW,19,0,0,0,0,0,0,0,0,0,1,2,1,0,0
Lucas Cañizares,GK,21,0,,,21794,24691,1082,252,214,91,2455,7880,13241,7813,1156
Álvaro Carrillo,DF,21,0,,,14072,17114,688,393,221,91,2668,7335,9155,4702,615
