Jogador,Édgar Badía,Gerard Gumbau,Carlos Clerc,Lucas Boyé,Omar Mascarell,Pedro Bigas,Tete Morente,Helibelton Palacios,Pere Milla,Fidel,Enzo Roco,John Donald,Raúl Guti,Lisandro Magallán,Randy Nteka,Josan,Lautaro Blanco,Gonzalo Verdú,Ezequiel Ponce,Diego González,Álex Collado,Roger Martí,Carmona,Pol Lirola,Nicolás Ezequiel Fernández,Johan Mojica,Domingos Quina,Axel Werner,Federico Fernández,Pape Cheikh Diop,Alejandro Alfaro,Javier Pastore,Manu Cocca,Jesús López
Édgar Badía,1.0000000000000002,0.6455987847065622,0.7435991961263517,0.542931974955059,0.715849303013427,0.8191223466952119,0.6312873407984634,0.7624746835986713,0.6178845289510765,0.6210719996009805,0.8235511123337946,0.7681211806633685,0.6547406011379059,0.8616565344458819,0.5913358932458942,0.7144723276903787,0.6745721052604502,0.8403027529525388,0.5711387608772802,0.8748853469968435,0.602337805415944,0.5897570153994239,0.728451494393893,0.7201928764424022,0.6391238562748074,0.7245266519276465,0.642780472370901,0.9953410678285969,0.9413442376127539,0.7155593067049634,0.44362918534935963,0.49817134824454984,0.7638978273610131,0.7134399854071108
Gerard Gumbau,0.6455987847065622,1.0,0.9862862673346449,0.9634246050724617,0.9841631258227859,0.9428279689604163,0.9643071217018637,0.9742376140799849,0.9924048211729104,0.9955572035923836,0.9367071263785435,0.9651979530211535,0.9984538266770545,0.9072713801495389,0.9674028632368695,0.9882931354829247,0.9635129389943816,0.9269494626815244,0.9823447639812642,0.8875434780211631,0.9832272073026553,0.9802207831258439,0.9717106197879353,0.9863963297692485,0.9787850022076306,0.9795753983727415,0.998297699772573,0.6972305230729924,0.6432763546222403,0.9733827482681344,0.9239656104418581,0.890108582553024,0.9834246662102998,0.993513590926302
Carlos Clerc,0.7435991961263517,0.9862862673346449,1.0000000000000002,0.9315376972738484,0.9893346564127227,0.9797037631717456,0.9564739088518879,0.9946236276959175,0.9755746241069642,0.9789687205098214,0.9764005246484232,0.9871700072057767,0.9897309644893717,0.9601338330329646,0.9471180186038066,0.9972076894826858,0.9691589577693948,0.9714620641951369,0.9533261150254522,0.9481159347151303,0.9634067758926754,0.9578037601333829,0.985362268401327,0.9961809767171765,0.9708873585260193,0.9916797543434134,0.985770105121607,0.791951017549377,0.750902040283386,0.9776656522435834,0.8781455681437706,0.8639286662221765,0.9988736469710912,0.9957229679070687
Lucas Boyé,0.542931974955059,0.9634246050724617,0.9315376972738484,1.0000000000000002,0.9156302843212206,0.8534552361529075,0.9717192801177448,0.9028512184601827,0.984682999075309,0.977026227229121,0.8444933778447705,0.8852970557906066,0.9617175518042789,0.8080677306125755,0.9965088753161554,0.9411378832580698,0.9456608904405737,0.8333775176566346,0.9949652704564015,0.7857205976954771,0.9823488549612763,0.9923874253729026,0.952754646105527,0.9438101396654408,0.972958750468874,0.9395033272229474,0.9697531885141945,0.5875817607004039,0.5578283056038273,0.8915293694170254,0.97795837808134,0.9382957979252861,0.9320830612094808,0.9528920425469579
Omar Mascarell,0.715849303013427,0.9841631258227859,0.9893346564127227,0.9156302843212206,0.9999999999999999,0.9804399376810131,0.9192905439980859,0.9935864211327589,0.9670413641087601,0.9657171553879289,0.976750242432746,0.9943511203393283,0.988520237783494,0.9539621679064635,0.9261417301569895,0.9824384702142616,0.9285337458166337,0.9694694540926765,0.9431471385910326,0.9388766395678279,0.9428231455621465,0.9364699363582026,0.9540832343669059,0.9765070571173934,0.9414519416658516,0.9655251283009619,0.9826509001481518,0.7653365126010238,0.7240399246705378,0.9944567599692832,0.8603046260011639,0.8132544466989818,0.9878619004346533,0.9852371483509067
Pedro Bigas,0.8191223466952119,0.9428279689604163,0.9797037631717456,0.8534552361529075,0.9804399376810131,1.0000000000000002,0.8842572386223742,0.9927795162283009,0.9222012141201598,0.9209734313081447,0.9997011754495565,0.9952926415972262,0.9518975946813386,0.9934855810827273,0.8779096803574857,0.9666445057549423,0.9105248664710366,0.9987018020467463,0.88450939269761,0.9879466976955382,0.8932760365720813,0.8847736524018156,0.9453850277529718,0.9624318544574482,0.9061908719455384,0.9534934055811689,0.9411322718779405,0.8627478714193313,0.8369908931365353,0.9765015385506752,0.7775361581465292,0.7572330765467669,0.9811848346162745,0.9621492274259335
Tete Morente,0.6312873407984634,0.9643071217018637,0.9564739088518879,0.9717192801177448,0.9192905439980859,0.8842572386223742,1.0000000000000002,0.9224366199160942,0.9714262348076144,0.9817745723320752,0.8785621688229845,0.9004986485367925,0.9616591514689817,0.8585770718518322,0.9771132129776324,0.9705245739566686,0.9897315053839816,0.8713826346590247,0.973623981940255,0.8410415174697199,0.9923645452851458,0.9903057006216412,0.9842065947042924,0.9760448028100521,0.9974254802049076,0.9808771320542684,0.9686291970579467,0.6788978246461869,0.6214497387225412,0.8899365239435049,0.9518015145800395,0.9681487012115155,0.9553092599070734,0.9714551827493072
Helibelton Palacios,0.7624746835986713,0.9742376140799849,0.9946236276959175,0.9028512184601827,0.9935864211327589,0.9927795162283009,0.9224366199160942,1.0000000000000002,0.9598266320623889,0.9588936620847132,0.9903493067370651,0.9976068374775203,0.980299695759801,0.9751638257173991,0.9216530922135949,0.9859253447405485,0.9423229851303464,0.9862699741324233,0.9297692697278646,0.9656621391159269,0.9341047098521745,0.9288480709097559,0.9671174142508092,0.9828075359224225,0.9422960629769421,0.9743385903670319,0.9725023428673873,0.8103319109022463,0.7829099986908371,0.9882154813829914,0.8375294142706621,0.8098431166821557,0.9937737001820752,0.9836132056641996
Pere Milla,0.6178845289510765,0.9924048211729104,0.9755746241069642,0.984682999075309,0.9670413641087601,0.9222012141201598,0.9714262348076144,0.9598266320623889,1.0000000000000002,0.9952804677103846,0.91491743600325,0.9467819505218181,0.9924284857748946,0.8825981968734578,0.9893455931357836,0.9779306956256124,0.9656011945199617,0.9054686943458136,0.9945856578080498,0.8640442994626554,0.9851385450889588,0.9907176206143945,0.9748208355956279,0.9782708832184476,0.9813525224683447,0.9718386444333619,0.9937216430507924,0.6670192358601074,0.636319195340323,0.9536452354826024,0.943807727003803,0.9072574051998561,0.9737945819075137,0.984461690131468
Fidel,0.6210719996009805,0.9955572035923836,0.9789687205098214,0.977026227229121,0.9657171553879289,0.9209734313081447,0.9817745723320752,0.9588936620847132,0.9952804677103846,1.0,0.9141705384781603,0.944107273800893,0.9928818847472056,0.8844962426449365,0.9807107124402753,0.9850713571021369,0.9783526033940015,0.9045969744835173,0.990538093572906,0.8648868549792795,0.9929436642018816,0.992839227571272,0.9784387810915752,0.9859389350679278,0.9905992846489888,0.9827306978271874,0.9950947675094147,0.6729155131222685,0.619982192730807,0.9509850408486993,0.9435726855400836,0.9244954812510622,0.9756554739487298,0.9894664337287807
Enzo Roco,0.8235511123337946,0.9367071263785435,0.9764005246484232,0.8444933778447705,0.976750242432746,0.9997011754495565,0.8785621688229845,0.9903493067370651,0.91491743600325,0.9141705384781603,0.9999999999999999,0.9934678147397319,0.9463979972219456,0.9955603967640759,0.8697558596966652,0.9634960321502414,0.9057855926520946,0.9993483767339009,0.8759733284592185,0.9906098365260377,0.88682702011027,0.877133151882724,0.9418360456281939,0.9590277681659277,0.9008259774136441,0.9500437892951472,0.9350989283525818,0.8674353087782707,0.8428226794311979,0.9721567489114787,0.7674602728709263,0.7500165470080503,0.9778789529977228,0.9577803733191071
John Donald,0.7681211806633685,0.9651979530211535,0.9871700072057767,0.8852970557906066,0.9943511203393283,0.9952926415972262,0.9004986485367925,0.9976068374775203,0.9467819505218181,0.944107273800893,0.9934678147397319,0.9999999999999998,0.972925081009273,0.9787267214641381,0.903250738137327,0.9764800517746517,0.9189420903330505,0.9893186601062866,0.914823810565626,0.9688832112801903,0.9174215193550628,0.9104935970068428,0.9509772038980675,0.9709629459229568,0.9233723522681379,0.960220360320373,0.9639419172217206,0.8153283107458648,0.7871935471264239,0.989921295506325,0.8180518405517975,0.7809458678193495,0.9870180331832996,0.9752013072608932
