ID,LABEL
0,Jan Oblak
1,Koke
2,Marcos Llorente
3,Stefan Savić
4,Mario Hermoso
5,Luis Suárez
6,Ángel Correa
7,Kieran Trippier
8,Yannick Carrasco
9,Felipe
10,Saúl Ñíguez
11,José María Giménez
12,Thomas Lemar
13,João Félix
14,Renan Lodi
15,Héctor Herrera
16,Šime Vrsaljko
17,Geoffrey Kondogbia
18,Lucas Torreira
19,Vitolo
20,Diego Costa
21,Thomas Partey
22,Manu Sánchez
23,Moussa Dembélé
24,Ricard Sánchez
25,Sergio Camello
26,Óscar Castro
